/**********************WORD COUNT**********************/
computers 78
experience 49
lang 49
pat 49
portfolio 49
user 49
fre 44
free 27
watch 23
windows 23
this 22
1986 21
commercial 21
floss 21
ha 21
insane 21
mental 21
ebooks 20
chris 15
duncan 15
minecraft 15
how 14
computer 13
dow 12
new 12
actually 11
c 11
coded 11
minister 11
prime 11
singapores 11
sudokusolver 11
tablet 10
that 10
when 9
all 8
change 8
gt 8
solution 8
amp 7
can 7
get 7
sales 7
apple 6
digital 6
introduction 6
online 6
pdf 6
rank 6
ty 6
usb 6
wordpress 6
download 5
gaming 5
laptop 5
networking 5
should 5
splitting 5
use 5
would 5
android 4
bracelet 4
clipart 4
comes 4
communications 4
data 4
discreet 4
electronics 4
fashionable 4
i'm 4
illustration 4
install 4
layout 4
more 4
park 4
premium 4
project 4
samples 4
standard 4
structured 4
universal 4
video 4
will 4
wiring 4
1604 3
1958 3
4g 3
acer's 3
black 3
case 3
cdc 3
ceo 3
cook 3
cover 3
cray 3
crazy 3
depends 3
design 3
designed 3
first 3
full 3
fully 3
games 3
got 3
guide 3
hd 3
know 3
leather 3
liability 3
man 3
nation 3
newsletter 3
phone 3
plugin 3
product 3
protector 3
restoring 3
sas 3
seymour 3
supercomputer 3
think 3
tim 3
tips 3
transistorised 3
why 3
wireless 3
wpsubscribers 3
4gb 2
8 2
80inch 2
8gb 2
air 2
atampt 2
auction 2
austin 2
best 2
built 2
buy 2
connect 2
could 2
deals 2
decision 2
degree 2
deleted 2
dell 2
die 2
directly 2
discount 2
eight 2
enraged 2
eu 2
ever 2
everywhere 2
fear 2
fi 2
find 2
go 2
good 2
google's 2
have 2
hdd 2
hellscape 2
hp 2
i7 2
inc 2
inspired 2
keyboard 2
life 2
listing 2
looking 2
lost 2
machaca 2
malfunctioning 2
mini 2
mobile 2
mom 2
movies 2
multimillion 2
n 2
need 2
nintendo 2
pack 2
pc 2
penguin 2
pop 2
professional 2
protect 2
ram 2
read 2
recover 2
recovery 2
red 2
replace 2
s 2
service 2
shoots 2
smart 2
snapping 2
software 2
soon 2
staff 2
stand 2
steps 2
store 2
stream 2
surge 2
tab 2
these 2
time 2
top 2
trap 2
tv 2
unlimited 2
verizon 2
vodafone 2
way 2
where 2
world 2
'killing' 1
038003786 1
10 1
1000 1
101 1
102 1
10k50k 1
115k 1
12 1
128gb 1
133 1
15k 1
173 1
1m3ft 1
1st 1
1tb 1
2013 1
2278 1
2317 1
24ports 1
25 1
26 1
29apr15 1
300gb 1
30617 1
32gb 1
330pm 1
3547 1
4925 1
5103 1
5880 1
5pm 1
6519 1
7 1
7770 1
800pm 1
81 1
97 1
a1466 1
ac 1
acer 1
activision 1
advantage 1
advice 1
alienware 1
always 1
ambledex 1
america 1
amphenol 1
aspire 1
ati 1
awesome 1
battery 1
become 1
beginning 1
bestbuy 1
big 1
bitch 1
blog 1
bluetooth 1
bobby 1
brett 1
bro 1
broadwell 1
budget 1
buying 1
cable 1
can't 1
card 1
catalyst 1
cell 1
check 1
chicago 1
choosing 1
cisco 1
cited 1
colorado 1
communicationshttptco0gdzggvfre 1
communicationshttptcodjzemg1bmc 1
communicationshttptcofmlxmfgvoq 1
communicationshttptcoyzmoynd2wv 1
computer's 1
controller 1
core 1
corvette 1
cruise 1
cuff 1
cyberattacks 1
cyberpower 1
d 1
dan 1
debuting 1
defend 1
desktop 1
devils 1
did 1
digiflip 1
done 1
double 1
dreamcast 1
drive 1
drop 1
dropp 1
drops 1
ds 1
dual 1
e 1
element 1
else 1
emc 1
english 1
entertainment 1
err 1
es1711p14w 1
expert 1
f 1
fashion 1
fast 1
fatz_bigbrother 1
feared 1
fed 1
finally 1
foul 1
g910 1
game 1
gamecube 1
gamepad 1
gb 1
gold 1
grant 1
graphics 1
gray 1
handgun 1
handy 1
hard 1
hate 1
headset 1
help 1
hints 1
holder 1
home 1
hopefully 1
hot 1
hourly 1
human 1
hunter 1
i5 1
inch 1
information 1
intel 1
ios 1
ipad 1
ipad23 1
it's 1
itb 1
joystick 1
june 1
keep 1
ketchup 1
knowledge 1
kombat 1
lambo 1
laserjet 1
last 1
latest 1
learn 1
legend 1
lesson 1
let 1
lhs005 1
limited 1
little 1
look 1
lookin 1
loot 1
luigi's 1
lunch 1
m126nw 1
m15x 1
macbook 1
machine 1
macos 1
magic 1
makes 1
managed 1
mansion 1
mclaughlin 1
md760lla 1
megatek 1
mfp 1
microsoft 1
midway 1
migos 1
mitraveler 1
model 1
monster 1
mortal 1
most 1
multiple 1
mustard 1
nem 1
never 1
newbies 1
newest 1
node 1
not 1
notice 1
now 1
offer 1
offerscroma 1
old 1
only 1
opportunity 1
pain 1
panamera 1
parent 1
people 1
physical 1
pink 1
popular 1
postgres 1
poweredge 1
powerful 1
prefer 1
presikrueger 1
preview 1
previewww 1
problem 1
probook 1
processor 1
profits 1
provides 1
pu 1
r 1
r430 1
r630 1
r730 1
r730xd 1
ra 1
rackmountable 1
range 1
rather 1
really 1
reasons 1
report 1
requires 1
respond 1
resulting 1
retail 1
robotics 1
rot 1
rotating 1
rotator 1
roundup 1
running 1
sale 1
salesforce 1
screen 1
seeing 1
several 1
sff8088 1
shit 1
sign 1
silver 1
skylanders 1
soft 1
something 1
sonic 1
sorted 1
space 1
spaceship 1
spanish 1
special 1
speed 1
spyro 1
stars 1
starter 1
starts 1
storage 1
superhero 1
surface 1
switch 1
systems 1
t430 1
t630 1
taking 1
team 1
technical 1
that's 1
ther 1
threats 1
threebladed 1
todayyyyy 1
tom 1
tonight 1
tool 1
topic 1
touch 1
tour 1
training 1
trinitys 1
ubi 1
uncooperative 1
updated 1
upgraded 1
using 1
v04 1
vivendi 1
w 1
ways 1
went 1
what 1
whatsapp 1
win 1
wired 1
work 1
wrong 1
wsc3560v224pss 1
x 1
xplosiv 1
y 1
year 1
years 1
yellow 1
yesterday 1
yosemite 1
you're 1
/******************************************************/

/**********************HASH TAGS***********************/
#computers 230
#free 66
#ebook 65
#freebook 65
#freeebook 65
#pc 23
#1985 21
#technology 17
#conceptdraw 12
#amazon 8
#canada 8
#deals 8
#internet 8
#news 7
#databases 6
#digital 6
#follow 6
#introduction 6
#sale 6
#socialmedia 6
#atom 5
#climate 5
#deals_us 5
#humans 5
#imposs 5
#software 5
#teens 5
#business 4
#apple 3
#aspire 3
#economy 3
#feedly 3
#gay 3
#hardware 3
#ibm 3
#laptops 3
#lgbtq 3
#microsoft 3
#pcs 3
#pride 3
#quantum 3
#tablets 3
#5 2
#auctions 2
#brain 2
#chip 2
#chromebook15 2
#co 2
#data 2
#desktops 2
#ibms 2
#it 2
#opensource 2
#phone 2
#silic 2
#tech 2
#tunein 2
#upgrade 2
#waste 2
#advice 1
#ageing 1
#album 1
#amazoncom 1
#ambledex 1
#android 1
#audio 1
#best 1
#bobbyschmurda 1
#boost4charity 1
#cameras 1
#chertsey 1
#com 1
#communications 1
#computerauction 1
#dell 1
#demfeels 1
#desk 1
#desktop 1
#device 1
#digitalwirral 1
#ebay 1
#electronic 1
#electronics 1
#emagfilms 1
#enterprise 1
#environment 1
#facebook 1
#feel 1
#fuckwalm 1
#fuckwalmart 1
#fun 1
#funny 1
#gadgets 1
#godsheros 1
#grimm 1
#harrystylesfanfic 1
#hdoe 1
#hints 1
#hollywood 1
#howto 1
#howyoufeel 1
#iphone 1
#july 1
#larryetward 1
#linkedin 1
#lmao 1
#lol 1
#londondrugs 1
#marketing 1
#meads 1
#mobileapps 1
#mobiletips 1
#mountroyal 1
#music 1
#netbook 1
#netbooks 1
#network 1
#newcareer 1
#newyear 1
#notebook 1
#offers 1
#outshout 1
#party 1
#phones 1
#poverty 1
#predator 1
#productivity 1
#psu 1
#repairs 1
#retail 1
#rfp 1
#router 1
#rp 1
#salespeople 1
#sellers 1
#servers 1
#siliconvalley 1
#smallbiz 1
#smartphonetips 1
#started 1
#tbt 1
#tea 1
#techy 1
#tips 1
#tutorials 1
#tvs 1
#ultimate 1
#unlocking 1
#ustream 1
#video 1
#virus 1
#whatsapp 1
#wikiwirral 1
#windows 1
#wired 1
#wirral 1
/******************************************************/

/***********************MENTIONS***********************/
@janinebucks 56
@wwgroovecorp 21
